article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
18133759,Perth-Sydney In Six Hours Planned,35,The Sydney Morning Herald (NSW : 1842 - 1954),13,1949-10-08,Article,94,N,0,http://nla.gov.au/nla.news-article18133759,http://trove.nla.gov.au/newspaper/page/1030120
91940040,SYDNEY-PERTH IN NINE HOURS,68,"Examiner (Launceston, Tas. : 1900 - 1954)",1,1945-12-14,Article,39,N,0,http://nla.gov.au/nla.news-article91940040,http://trove.nla.gov.au/newspaper/page/8328067
127037252,PERTH-SYDNEY IN 9½ HOURS,461,"News (Adelaide, SA : 1923 - 1954)",2,1945-06-25,Article,156,N,0,http://nla.gov.au/nla.news-article127037252,http://trove.nla.gov.au/newspaper/page/11030844
188375756,"15 HOURS Sydney-Perth ""Smithy's"" Plans",632,The West Wyalong Advocate (NSW : 1928 - 1954),5,1935-02-05,Article,324,N,0,http://nla.gov.au/nla.news-article188375756,http://trove.nla.gov.au/newspaper/page/21408832
189478897,Perth-Sydney in 5½ Hours,809,"The Age (Melbourne, Vic. : 1854 - 1954)",4,1949-10-27,Article,64,N,0,http://nla.gov.au/nla.news-article189478897,http://trove.nla.gov.au/newspaper/page/19603518
224899417,Perth-Sydney Flight In 8½ Hours,621,"Weekly Times (Melbourne, Vic. : 1869 - 1954)",3,1947-10-01,Article,49,N,0,http://nla.gov.au/nla.news-article224899417,http://trove.nla.gov.au/newspaper/page/24156746
156197124,"THIRTY-FIVE HOURS Sydney to Perth SYDNEY, Friday.",648,Mudgee Guardian and North-Western Representative (NSW : 1890 - 1954),2,1929-10-04,Article,61,N,0,http://nla.gov.au/nla.news-article156197124,http://trove.nla.gov.au/newspaper/page/17218134
36694472,"PERTH-SYDNEY IN 5½ HOURS SYDNEY, October 26.",44,"The Advertiser (Adelaide, SA : 1931 - 1954)",3,1949-10-27,Article,42,N,0,http://nla.gov.au/nla.news-article36694472,http://trove.nla.gov.au/newspaper/page/2607646
249355938,"PERTH TO SYDNEY THIRTY HOURS FLYING TIME SYDNEY, Monday.",1134,"The Daily Express (Wagga Wagga, NSW : 1919 - 1930)",1,1927-02-01,Article,57,N,0,http://nla.gov.au/nla.news-article249355938,http://trove.nla.gov.au/newspaper/page/27568464
87479667,Sydney-Perth in 30 Hours Modern Air Travel,342,Kalgoorlie Miner (WA : 1895 - 1950),4,1937-12-31,Article,187,N,0,http://nla.gov.au/nla.news-article87479667,http://trove.nla.gov.au/newspaper/page/9039961
95575585,Perth-Sydney in Eight Hours NEW PLANE RECORD,342,Kalgoorlie Miner (WA : 1895 - 1950),4,1946-02-08,Article,88,N,0,http://nla.gov.au/nla.news-article95575585,http://trove.nla.gov.au/newspaper/page/9056669
